大类,问题的根因,问题的症状描述
bug,环境配置错误,安装时出现RuntimeError、环境变量设置错误、CUDA版本不匹配、NPU环境配置失败、缺少依赖项（如CpuAdamArmExtension）
bug,功能实现缺陷,模型保存失败（AttributeError）、张量未正确解包（_unpad_detach缺失）、混合检查点IO缺陷、梯度未启用、参数形状未检查
bug,资源管理问题,内存分配过大导致报错、多节点训练时多余内存复制、异步保存内存问题、反向传播速度下降
bug,兼容性问题,TP_size整除问题导致张量大小不匹配、模型精度转换问题（bf16支持）、Perf与Transformers版本冲突
bug,逻辑错误,脚本参数列表过长、未注释代码导致功能限制、语言障碍描述混乱、readme指导不清晰
bug,依赖与安装问题,NPU Docker安装失败、缺少预安装工具（precommit）、扩展模块未正确安装
bug,性能问题,加载fused_optim_cuda耗时过长、通信与计算重叠导致速度下降、Flash Attention窗口设置错误
bug,数据类型错误,输入数据类型不一致引发RuntimeError、权重类型参数限制导致加载失败
bug,并行处理错误,Tensor Parallel训练中词汇表划分错误、混合并行插件保存模型异常、MoE分布式参数组检测错误
bug,优化器问题,零优化器保存功能异常、梯度通信缓冲未正确初始化
bug,模型加载问题,模型参数随机初始化、LoRA加载步骤缺失、检查点加载时权重冗余（tie_word_embeddings）
bug,精度溢出问题,FP16负向分裂错误、MoE前向传播精度溢出（Precision overflow）
bug,环境配置或依赖问题,无法正确安装或运行，例如缺少依赖库、版本不兼容（如Triton版本导致CI失败）、废弃的安装方法
bug,并行计算/分布式训练错误,多GPU/多机训练时出现通信错误（如all_gather_fp8失效）、梯度异常（NaN）、进程卡死（如GeminiPlugin卡住）
bug,模型保存/加载处理错误,检查点保存失败（如维度错误、格式错误）、加载时键不匹配（unexpected_keys）、无法加载混合模型
bug,代码逻辑错误,变量命名冲突、浮点数比较不准确、条件判断缺失（如缺少lazyload条件）、异步CUDA流处理不当
bug,功能实现不完整/缺失,未支持必要功能（如fp8线性支持）、未维护代码（如RoBERTa预训练）、未适配新版本（如transformers升级导致兼容问题）
bug,API/接口变更或兼容性问题,参数缺失（如缺少config参数）、方法调用错误（如module属性未定义）、接口不兼容（如torch.compile导致多进程hang）
bug,进程间通信/同步问题,多机训练时全局rank转换错误、GPU负载不均衡导致死锁、多进程同步条件错误
bug,注意力机制实现缺陷,注意力掩码生成错误（如Shardformer模块）、双环注意力组设计问题、注意力kernel数据处理异常
bug,混合并行策略错误,并行插件（如HybridParallelPlugin）引发属性错误、模型分片维度不匹配、混合模型保存失败
bug,单元测试缺陷,测试用例设计错误（如stage_index错误）、断言条件不准确、测试环境配置问题
bug,内核实现问题,算子实现缺陷（如FP8 all-reduce算法错误）、内核兼容性不足（如flash attention缺少lazyload）
bug,代码逻辑错误,功能未按预期工作（如lora功能问题、参数未正确传递、本地变量未初始化）
bug,类型错误,变量类型不符导致错误（如_local_rank非int类型）
bug,环境配置问题,安装或运行时环境依赖冲突（如CUDA版本、Windows兼容性问题）
bug,功能兼容性问题,模块与框架版本或第三方库不兼容（如transformers 4.39兼容性错误）
bug,资源管理问题,内存/显存不足或异常占用（如CPU内存耗尽、GPU内存使用率异常）
bug,通信机制缺陷,分布式训练组件异常（如FP8通信准确度下降、allgather操作缺失）
bug,参数配置错误,配置参数设置不当（如输入尺寸不一致、atol值设置不当）
bug,语法/拼写错误,代码拼写或语法错误（如ZeRO typo、文档冗余文件）
bug,测试覆盖不足,测试用例缺失或覆盖不全（如pytest未检测拼写错误）
bug,文档/注释问题,文档描述错误或缺失（如缺少PR标准要求）
bug,流程控制缺陷,训练流程异常（如SFT训练跳过、进度条显示异常）
bug,断言条件错误,断言逻辑不合理导致异常（如moe policy assert失败）
bug,版本管理问题,版本检查或更新导致的错误（如torch 2.2异常类型变更）
bug,路径/文件操作错误,文件路径或IO操作异常（如FileNotFoundError）
bug,梯度检查点缺陷,梯度检查点功能未完整实现（如OPT模型仅解码器支持）
bug,分布式协调问题,分布式组件协作异常（如DistCoordinator类问题）
bug,API接口变更,框架API更新引发兼容性问题（如object_to_tensor新增参数）
bug,模块实现错误,shardformer建模问题导致bloom和falcon模型异常；booster.backward方法调用后梯度变为None；llama rotary embedding API版本兼容性问题；Flash解码过程中alibi mask导致CI测试失败；llama policy修改引发错误；KVCacheManager中kv_head_num赋值异常；GROK-1模块参数do_sample=False时运行错误
bug,依赖库版本兼容性问题,transformers版本升级导致API不兼容；OpenMOE示例导入路径因版本差异出错；PyTorch 2.3安装后Shardformer失败
bug,测试用例缺陷,test_fx/test_tracer等测试用例未通过；预处理步骤缺失导致测试失败；test_continuous_batching运行时间过长；CI测试因超时设置不当失败
bug,初始化顺序错误,dist logger在进程组初始化前被调用导致rank错误
bug,配置参数问题,attention头数未按TP size整除导致断言错误；模型加载未指定数据类型占用双倍内存；冗余配置参数引发测试延迟
bug,环境配置问题,docker构建中出现CUDA扩展错误；缺少__init__.py文件导致模块导入失败
bug,数据处理不一致,conversation_template.seps与bos/eos_token不匹配导致tokenizer错误
bug,API变更兼容性缺失,llama_causal_lm_forward()收到未预期参数'shard_config'引发TypeError
bug,内存管理缺陷,加载检查点时未指定数据类型导致内存占用翻倍
bug,文档与示例缺失,API服务器文档和示例不完善导致使用问题；缺少auto-policy错误提示影响问题排查
bug,流程规范问题,未按标准流程创建PR导致代码质量问题；CI构建流程未优化导致时间过长
bug,性能优化不足,Inference分布式RPC框架性能低下；测试用例执行效率低
bug,依赖项冲突,flash_attn取代dropout_layer_norm后未提供替代方案
bug,钩子管理异常,注册的梯度钩子无法正确移除；插件hooks移除导致功能异常
bug,类型检查缺失,_gen_python_code()收到未定义参数'verbose'导致TypeError
bug,外部服务集成问题,Slack链接过期导致协作流程中断
bug,数据类型不一致,参数dtype不一致导致AssertionError
