大类,问题的根因,问题的症状描述
bug,并发处理逻辑错误,高并发时出现错误（如py_decoding_iter错误、greedy search结果不一致）
bug,测试设计缺陷,测试用例执行失败或非确定性失败（如测试依赖执行时间、参数设置错误）
bug,内存管理不当,内存泄漏或未释放张量导致OOM错误
bug,构建/安装配置错误,构建/安装过程中出现错误（如GEMM配置缺失、CMake版本不兼容）
bug,功能实现错误,特定功能异常（如lookahead decoding形状不兼容、未正确支持模型参数）
bug,依赖兼容性问题,环境/版本不兼容导致异常（如Python/Ubuntu版本、CUDA架构设置）
bug,资源管理缺陷,线程泄漏或请求处理异常（如请求取消后继续处理、调度器逻辑错误）
bug,CUDA相关配置问题,CUDA功能异常（如cuda graph输出错误、FP8 FMHA编译失败）
bug,参数校验缺失,参数设置错误导致异常（如no_repeat_ngram_size=0触发错误）
bug,模型转换错误,模型转换失败或输出不一致（如Hugging Face模型转换异常）
bug,路径配置错误,路径设置问题导致功能异常（如glm-4-9b路径错误）
bug,代码逻辑错误,功能实现错误（如未归一化draft logits导致采样错误）
bug,文档不完善,集成测试指南需要细化
bug,功能支持缺失,不支持特定配置（如PP+MTP配置不支持、负数结果不支持）
bug,优化引入副作用,代码优化导致运行时错误（如替换CudaEvent引发测试失败）
bug,内核实现缺陷,缩放因子布局不匹配导致断言错误（如FP8 blockwise gemm kernel）
bug,测试框架限制,测试列表中不支持文件名导致功能需求未被满足
bug,资源调度异常,Slurm系统无法正常退出导致进程hang住
bug,参数校验不充分,特定参数设置引发功能异常（如lookahead decoding形状不兼容、模型输出无法停止）
bug,环境配置错误,系统配置问题导致CUDA设备绑定失败
bug,进程管理缺陷,多进程/多GPU场景下程序hang住（如mgmn组件、trtllm-llmapi-launch命令）
bug,缓存管理异常,KV Cache管理问题导致hang或内存使用不准确（如CacheTransceiver hang、KV cache重用问题）
bug,构建系统缺陷,CMake宏逻辑错误导致构建失败（如find_library_create_target未正确处理缺失库）
bug,依赖管理问题,容器/镜像配置错误导致功能异常（如内部Docker镜像不可访问、mlx5设备连接失败）
bug,路径管理错误,文件路径变更导致依赖失效（如requirements.txt路径失效、模型路径配置错误）
bug,多线程同步缺陷,进程间消息不对齐导致融合消息错误
bug,版本兼容性问题,软件版本冲突导致异常（如setuptools版本缺陷导致构建失败）
bug,内存访问越界,非法内存访问导致崩溃（如mtp eagle模式引发segfault）
bug,硬件适配缺陷,特定硬件平台功能异常（如Blackwell平台FP8 MLA kernels错误）
bug,算法逻辑错误,数值处理缺陷导致结果异常（如cp_size*tp_size超限导致kv_head_num归零）
bug,HTTP服务异常,服务器返回非200状态码（如benchmarking时HTTP 500错误）
bug,测试用例缺陷,测试条件设置错误导致功能受限（如fp4_gemm测试受nvbug影响无法执行）
bug,编译配置错误,CUDA图设置异常导致性能问题（如allreduce CUDA图结果错误）
bug,代码维护问题,重构遗留代码引发错误（如trtGptModelInflightBatching.h定义未清理）
bug,模型适配缺陷,特定模型部署异常（如DeepSeekR1FP4在B200上的推理速度问题）
bug,实现逻辑冲突,Sliding Window Attention与kv缓存重用机制冲突导致缓存禁用判断失效
bug,参数验证不严谨,构造函数条件检查不严格导致错误配置风险
bug,资源不足,trtllm-build命令因内存不足导致构建失败
bug,代码转换错误,平台兼容性问题（如Gemma2在Jetson设备报错）
bug,数据类型错误,模型转换脚本convert_checkpoint.py执行失败
bug,内存管理缺陷,多节点场景出现"double free detected in tcache 2"错误
bug,测试用例失败,测试未通过（如Test failed tests/Kill测试/多GPU测试）
bug,并发处理缺陷,压力测试时出现线程崩溃或性能下降（thread-XX问题）
bug,功能兼容性缺失,Qwen MOE模块不支持FP8数据类型
bug,缓存优化失效,enable_kv_cache_reuse参数未产生预期性能提升
bug,日志与调试信息缺失,缺少有效调试信息导致问题定位困难
bug,批处理功能缺陷,Whisper批处理仅输出30秒结果
bug,环境配置问题,测试失败可能由环境配置错误导致
bug,空内容提交,用户误操作创建空白issue（如空标题/空内容）
bug,第三方依赖问题,setuptools缺陷导致安装/构建失败
bug,未知根因,问题描述不完整导致无法明确归类（如Debug消息测试）
bug,代码实现错误,使用官方示例构建decoder时发生core dump
bug,参数配置不当,设置max_tokens参数过大导致并行请求被阻塞
bug,环境变量缺失,未设置指定环境变量导致模型转换错误
bug,硬件不兼容,在GB200/RTX 5090等硬件上运行时报非法内存访问或无法启动
bug,内存管理问题,cudaHostAlloc函数内存不足或CUDA内存耗尽导致运行时错误
bug,版本兼容性问题,TensorRT版本不匹配或Torch版本不兼容导致功能异常
bug,模型转换错误,转换InternVL2-1B等模型时因脚本或版本问题失败
bug,量化实现缺陷,FP8/AWQ量化后出现core dumped或准确性问题
bug,依赖库问题,googletest或.gitmodules文件错误导致构建失败
bug,API接口限制,调用ModelRunnerCpp.from_dir()时参数不支持引发TypeError
bug,文档错误,quantization/README.md存在拼写错误需修复
bug,性能瓶颈,_initialize_and_fill_output函数耗时过长或KV cache量化无效
bug,资源耗尽,批次过大或权重超出int32范围导致内存溢出
bug,功能逻辑错误,addCumLogProbs内核批次槽错误导致结果重复
bug,第三方依赖缺失,Windows系统中缺少tensorrt_llm_ucx_wrapper.dll文件
bug,输入处理异常,模型推断时因输入格式错误输出文本异常
bug,依赖管理问题,安装过程中因依赖项（如Git、Flash Infer、CUDA库）缺失或版本不兼容导致失败
bug,模型转换错误,模型权重转换失败或格式不兼容（如fp8 tp32权重、int4量化处理错误）
bug,功能实现错误,插件/模块功能未按预期启用（如减少融合、KV Cache量化、解码停止条件）
bug,内存管理问题,GPU/CPU内存泄漏、非法内存访问或资源利用率异常（如GPU利用率过高）
bug,参数配置错误,接口参数传递错误（如未知参数、数据类型不匹配、缓冲区大小不兼容）
bug,环境配置问题,编译或运行时环境问题（如权限不足、CUDA架构设置错误、符号缺失）
bug,算法逻辑错误,执行过程中逻辑错误（如索引顺序混乱、哈希表操作异常、概率计算错误）
bug,文档/链接问题,文档内容错误或无效链接导致用户操作受阻
bug,性能问题,推理速度显著下降或基准测试表现异常
bug,结果偏差问题,模型输出与预期结果不一致（如数值错误、生成垃圾数据、跨框架结果不一致）
bug,并发处理问题,多请求并发时性能下降或结果异常（如时间消耗增加、资源竞争）
bug,版本兼容性问题,不同版本组件（如TensorRT-LLM、Protobuf）间接口不兼容
bug,量化实现缺陷,量化过程中参数处理错误导致输出异常（如INT8量化中的冗余操作）
bug,异常处理缺失,未正确处理边界条件（如输入长度超限、向量大小超限）
bug,安装源配置错误,安装时指向错误仓库或私有源导致依赖获取失败
bug,配置错误,服务器无法正常启动运行
bug,内存管理问题,内存泄漏导致编译失败
bug,模型转换与加载错误,AutoConfig无法加载huggingface配置导致报错
bug,输入长度限制,输入长度超过模型限制导致错误
bug,缓存重用问题,kv_cache重复利用导致错误输出
bug,参数设置错误,kv cache配置问题导致异常
bug,环境配置问题,Docker命令运行不正确导致无法运行benchmark
bug,版本兼容性问题,更新版本后出现空输出
bug,参数传递错误,参数更改后仍报告先前错误
bug,初始化参数错误,tokenizer初始化时kwargs参数更新导致错误行为
bug,内存不足,工作空间大小不足导致构建失败
bug,数值断言失败,lora_weights数值不足导致断言失败
bug,字段声明缺失,加载onnx模型时因缺少字段声明失败
bug,模型配置错误,推断时出现断言错误
bug,量化实现问题,int4 weight only引擎输出垃圾字符
bug,缓存管理错误,continuous kv cache未正确使用导致计算错误
bug,构建过程错误,TRT引擎构建时出现TypeError
bug,功能兼容性问题,guided decoding和kv cache reuse同时使用导致Segmentation fault
bug,模型支持问题,Qwen2VL模型转换失败
bug,依赖管理问题,安装时出现模块缺失或依赖冲突
bug,CUDA兼容性问题,CUDA调用失败导致初始化错误
bug,代码逻辑错误,加载模型次数与预期不符
bug,名称映射错误,模型名称映射错误导致加载失败
bug,解码实现问题,无法正确处理系统提示标记
bug,构建参数问题,CUDA toolkit版本或驱动版本不匹配导致构建失败
bug,算法稳定性问题,每次推断结果不一致
bug,架构支持问题,aarch64架构构建失败
bug,日志管理问题,运行时不必要的信息提示
bug,并行计算问题,tensor parallelism导致输出结果错误
bug,编译配置问题,代码更改后编译错误
bug,延迟性能问题,启用kv cache reuse后延迟增加
bug,数据类型错误,元素加法操作中数据类型不匹配
bug,模块/功能兼容性问题,模型输出异常或无法正常工作
bug,配置参数错误,生成结果不符合预期（如token长度、重复输出）
bug,依赖项缺失/版本冲突,安装失败或运行时模块导入错误
bug,构建/编译错误,引擎构建失败或出现SIGABRT错误
bug,内存管理问题,内存溢出(OOM)或程序异常终止
bug,输入处理逻辑错误,输出内容异常（如重复名称、乱码）
bug,性能优化缺陷,请求延迟过高或计算速度低于预期
bug,GPU识别/调度异常,无法在指定GPU设备运行
bug,量化/精度转换错误,模型准确率下降或构建失败
bug,并行计算问题,多GPU环境结果不一致或系统挂起
bug,模型转换缺陷,权重转换失败或缺少必要参数
bug,API服务异常,服务器启动失败或流响应编码错误
bug,文档缺失/错误,链接失效或缺少配置指导
bug,采样策略缺陷,生成结果存在未定义行为
bug,后处理逻辑错误,输出内容缺失关键信息（如标点）
bug,环境兼容性问题,特定操作系统/硬件运行失败
