大类,问题的根因,问题的症状描述
bug,版本过时或未更新,第三方copyright notice需要更新
bug,接口兼容性错误,请求格式不兼容导致接口报错
bug,数据格式不支持,数据格式错误（如bf16不支持）
bug,并行配置错误,并行读取配置不合理导致算子错误
bug,文档未同步,模型列表或API中英文不一致
bug,资源缺失,权重下载失败或文件缺失
bug,代码逻辑错误,算子融合失败、进程冲突或参数缺失
bug,配置参数错误,参数设置错误导致训练或推理异常
bug,环境依赖问题,Python版本或依赖版本不匹配
bug,动态shape支持不足,动态输入导致IR图执行失败
bug,内存管理问题,全自动并行场景下内存突增
bug,量化配置错误,量化和SLora特性影响网络精度
bug,测试用例缺失,转换脚本缺乏测试用例看护
bug,文件权限问题,编译时文件权限错误导致更新失败
bug,开源声明问题,开源声明位置错误或缺失
bug,代理配置问题,Docker镜像拉取失败
bug,数据预处理错误,数据集加载失败或预处理报错
bug,注释或文档格式错误,API注释缩进错误或展示效果异常
bug,模块导入错误,模块导入失败导致预训练中断
bug,日志记录错误,日志内容写入错误或格式异常
bug,配置缺失或错误,新增配置项未维护到模板中导致问题
bug,并行处理逻辑错误,并行训练或推理时出现报错或校验失败
bug,参数初始化问题,权重重复初始化或参数冗余调用导致错误
bug,数据路径配置错误,文件路径注册错误或策略文件缺失
bug,代码逻辑不一致,条件判断取值逻辑不统一导致异常
bug,版本兼容性问题,特定版本安装时出现类型错误或不支持参数
bug,文档内容错误,文档链接失效/步骤错误/拼写错误
bug,算子支持缺失,配置文件缺少必要算子的支持
bug,内存管理问题,模型运行过程中出现内存溢出(OOM)
bug,精度对齐问题,配置不当导致精度不一致或性能劣化
bug,资源分配错误,显存/算力分配不当导致内核启动失败
bug,随机性缺失,推理时输出结果缺乏必要的随机性
bug,监控功能异常,profiler未记录关键性能指标信息
bug,注册机制缺陷,数据集注册路径错误导致处理失败
bug,索引越界错误,节点输出索引超出有效范围
bug,编译配置错误,特定场景下编译过程报错
bug,压缩参数不匹配,数据集预处理参数不一致导致推理异常
bug,回调函数错误,专家系统回调函数命名错误导致异常
bug,序列处理错误,位置编码参数设置冲突导致校验失败
bug,模型转换缺陷,缺少必要的模型转换脚本支持
bug,配置参数错误,配置文件设置错误或参数不匹配导致功能异常
bug,文档描述不一致,文档/示例代码与实际功能存在差异导致执行失败
bug,环境依赖问题,缺少必要模块/版本不兼容导致导入或运行报错
bug,日志输出不完善,日志信息缺失或冗余导致调试困难
bug,并行计算配置错误,显存占用异常或分布式训练下发性能低下
bug,模型权重处理异常,权重合并/转换时出现数值错误或维度不匹配
bug,算子实现缺陷,张量维度/类型错误导致模型推理或训练崩溃
bug,数据加载逻辑错误,不同参数下数据采样方式不一致导致结果异常
bug,API兼容性问题,接口变更未适配导致测试用例或功能调用失败
bug,模型架构缺陷,特定配置下出现loss异常（如NaN或突发增大）
bug,路径配置错误,文件路径指定错误导致资源加载失败
bug,字符编码问题,推理结果出现乱码或文本处理异常
bug,弃用机制不完善,使用废弃接口时缺少明确提示信息
bug,量化部署缺陷,后量化过程报错或推理时延/精度异常
bug,测试用例缺陷,测试用例位置/校验逻辑错误导致门禁报错
bug,算子缺失或不支持,模型推理时出现Unsupported op错误
bug,代码接口不同步,Profile类判断条件与接口不匹配导致stack信息收集失败
bug,重复实例化流程,校验报错导致pipeline_stages值被改写
bug,文档与实际配置不一致,yaml文件与运行脚本路径不匹配
bug,模块导入缺失,测试用例无法通过
bug,路径配置错误,权重转换指令无法执行
bug,输入布局模式错误,单机多卡推理出现RuntimeError
bug,接口调用顺序错误,校验失败
bug,内存管理错误,全量微调出现内存错误
bug,代码实现错误,保存词表时参数传递错误
bug,参数配置不当,单卡运行微调失败
bug,文件缺失,模型预测时文件不存在
bug,资源分配错误,微调时出现OOM问题
bug,配置文件错误,全量微调过程报错
bug,请求解析错误,无法解析JSON上下文
bug,镜像构建失败,无法创建模型实例
bug,第三方库兼容性问题,numpy警告导致推理报错
bug,环境变量配置错误,PD分离/混布模型实例报错
bug,权重文件格式错误,单safetensors文件校验失败
bug,命令行参数错误,权重转换脚本报AttributeError
bug,日志格式错误,micro_batch_interleave_num输出为%s
bug,版本控制错误,日志打印不准确
bug,参数缺失,权重转换指令运行失败
bug,安装包缺失,mindie启动缺少依赖文件
bug,配置文件名错误,评测配置文件名称不匹配
bug,并行模式配置错误,静态图模式不符合预期
bug,显存分配错误,分布式训练显存溢出
bug,环境配置错误,运行脚本时报错
bug,云平台兼容性问题,ModelArts训练失败
bug,流同步失败,模型推理同步错误
bug,终止条件无效,无法提前停止推理输出
bug,配置冲突,同时配置sink_size和FlopsUtil导致报错
bug,容器网络配置错误,多机多卡操作报错
bug,依赖库缺失,启动缺少libpython库
bug,数值处理错误,量化推理时数值拆分失败
bug,优化器缺失,找不到AdamWeightDecayX类
bug,版本兼容性错误,权重转换失败
bug,数据校验缺失,打印时延数据影响推理
bug,第三方库版本冲突,numpy版本导致微调报错
bug,硬件兼容性问题,昇腾单卡运行报错
bug,模型完整性错误,GLM3微调报错
bug,类属性缺失,测试用例提示No Attribute错误
bug,权重加载错误,模型推理加载权重失败
bug,参数格式错误,权重转换时数值错误
bug,配置文件缺失,缺少/config.json文件
