大类,问题的根因,问题的症状描述
bug,版本兼容性（如 NumPy/MindSpore/transformers 版本冲突）,训练/加载时报错或崩溃
bug,数据类型不支持（如 bfloat16、safetensors 等）,dtype 不一致或无法识别
bug,功能未实现（如某模型微调方式、split 函数等缺失）,调用时抛出 NotImplementedError 或空指针
bug,环境配置错误（如 Windows+CPU、Orange Pi、Ascend 设备等）,导入失败或设备不可见错误
bug,接口设计缺陷（如 from_pretrained 无法识别条件化检测模型）,加载失败或参数缺失
bug,依赖安装/下载问题（源码下载不全、多线程禁用等）,安装/下载失败或缺包
bug,硬件资源限制或多卡并行问题（如四卡报错）,OOM 或线程异常
bug,逻辑或代码错误（如误删文件内容、接口调用不完整）,集成测试/功能测试不通过
bug,第三方库兼容性（如 pyboost、TensorPy 与 MindSpore 兼容问题）,初始化或运行时报错
question,文档或示例缺失（如缺乏使用说明、参数解释）,用户询问“如何使用/如何复现”
requirement,新增功能需求（如支持新的 safetensors loader）,用户期望“需添加 XX 功能”
requirement,性能优化需求（如推理效率不达标）,用户期望“提升性能/多卡支持”
bug,版本兼容性（如 MindSpore/transformers/mixtral 等版本冲突）,运行时抛出 RuntimeError、训练/加载失败
bug,数据类型不支持（如 bfloat16、混合精度不兼容）,报错无法获取浮点信息或 dtype 不一致
bug,功能未实现（如 IA3、cells→modules 替换、ops.ones 未支持）,调用时报 NotImplementedError 或空指针
bug,环境/硬件配置错误（如 Orange Pi、香橙派 AIPro、Ascend、CPU 模式）,模块加载失败或设备不可见
bug,接口设计缺陷（如 from_pretrained 识别失败、normalize_embeddings 逻辑有误）,模型加载/推理输出不准确
bug,依赖安装/下载问题（源码下载不全、版本号无效）,安装失败或下载中断
bug,多进程/多卡并行问题（如 AllReduce 调用时机、四卡报错）,OOM、线程异常或超时
bug,参数配置错误（如 optimizer step、task_ids 缺失、分组参数配置不当）,TypeError、ValueError 或数值错误
bug,拼写或命名错误（如 llama→baichuan 拼写、module_logits→cell_logits）,AttributeError 或 KeyError
bug,测试用例或示例缺陷（如 pytest 配置错误、Quick start 示例失败）,测试不通过或示例运行报错
bug,性能或效率问题（如训练速度慢、推理效率低）,训练/推理耗时过长或结果准确度下降
question,文档/示例缺失（无参数说明、用法示例）,用户询问“如何使用/如何配置”
requirement,新增功能需求（如 safetensors loader、更多精度支持）,用户期望“新增 XX 功能”
requirement,性能优化需求（如多卡推理、低内存占用）,用户期望“提升性能/资源利用”
bug,版本兼容性（如 MindSpore/transformers/mixtral 版本冲突）,运行时抛出 RuntimeError、训练/加载失败
bug,数据类型支持不足（如 bfloat16、混合精度不兼容）,dtype 不一致或无法获取浮点信息
bug,维度不匹配（如示例程序推理维度错位）,抛出 ShapeMismatchError 或 IndexError
bug,代码修改不完整（如替换 DataLoader 后未同步修改）,KeyError 或逻辑异常
bug,模型/模块未注册或丢失（如 minicpm 未注册、injection 模块不存在）,ModuleNotFoundError
bug,性能或资源利用不足（如训练速度线性变慢、CPU/GPU 利用率低）,训练/推理耗时过长或无进度
bug,参数配置错误（如 per_gpu_train_batch_size、task_ids 缺失）,KeyError、ValueError 或 TypeError
bug,接口/API 设计缺陷（如 normalize_embeddings、set_adapter 多 adapter）,调用异常或结果不一致
bug,导入/命名/拼写错误（如 llama→baichuan 拼写错误、module_logits），AttributeError 或 KeyError
bug,环境/硬件不兼容（如 OrangePi、Ascend、香橙派 AIPro）,UnsupportedExpression 或设备不可见
bug,运算符或数值稳定性问题（如 cumsum 缺失、gamma 设置错误）,RuntimeError 或数值异常
bug,多卡/分布式训练错误（如 AllReduce 调用时机不当、动态图分布式失败）,OOM、Deadlock 或超时
bug,第三方依赖过时或缺失（如 nn.utils.parametrizations 未更新）,ImportError 或 NotImplementedError
bug,文档与示例缺失或错误（如 Quick start 示例失败、URL 错误）,用户无法复现或询问“如何…”
bug,功能未实现（如 IA3、whisper stream、llava on Ascend）,调用时报 NotImplementedError 或空指针
bug,逻辑或算法缺陷（如损失计算错误、split 实现有误）,输出 nan 或收敛不一致
question,文档/示例缺失（如参数说明、用法示例）,用户询问“如何使用/如何配置”
requirement,新增功能需求（如 safetensors loader、多精度支持）,用户期望“需添加 XX 功能”
requirement,性能优化需求（如多卡推理、低内存占用）,用户期望“提升性能/资源利用”
bug,版本兼容性（依赖版本冲突）,抛出 RuntimeError 或加载失败
bug,数据类型支持不足（bfloat16/混合精度）,dtype 不一致或无法获取浮点信息
bug,环境/硬件不兼容（OrangePi/Ascend/CPU-only）,UnsupportedExpression 或设备不可见
bug,API/接口设计缺陷（from_pretrained/normalize_embeddings）,调用异常或结果不一致
bug,功能未实现（IA3/whisper stream/llava on Ascend）,NotImplementedError 或空指针
bug,维度/形状不匹配（tensor shape mismatch）,IndexError 或 ShapeMismatchError
bug,参数配置错误（batch_size/task_ids）,KeyError、ValueError 或 TypeError
bug,逻辑或算法缺陷（损失计算/split 实现错误）,输出 nan 或收敛不一致
bug,导入/注册/命名错误（模块未注册/拼写错误）,ModuleNotFoundError 或 KeyError
bug,第三方依赖缺失或过时（parametrizations/pyboost）,ImportError 或 NotImplementedError
bug,多卡/分布式训练错误（AllReduce/分布式模式）,OOM、Deadlock 或超时
bug,性能或资源利用不足（速度慢/利用率低）,训练/推理耗时过长
bug,依赖安装/下载问题（源码下载不全/版本号无效）,安装/下载失败
bug,文档示例缺失或错误（URL 拼写/示例失败）,用户无法复现
bug,运算符或数值稳定性问题（cumsum/gamma/nan）,RuntimeError 或数值异常
question,文档示例缺失（缺参数说明/示例）,用户询问“如何使用”
requirement,新增功能需求（safetensors loader/多精度支持）,用户期望“新增 XX 功能”
